job_id,posting_date,application_deadline,days_to_deadline,verified_post,screening_process,application_method,view_count,fraudulent
32,2024-02-01,2024-02-08,7,False,Unclear,Third-party,273,0
33,2024-02-02,2024-02-09,7,False,None,Email,83,0
34,2024-02-03,2024-02-12,9,False,None,Email,146,0
35,2024-02-04,2024-02-08,4,False,Unclear,Third-party,169,0
36,2024-02-05,2024-02-08,3,False,None,Unspecified,157,0
37,2024-02-06,2024-02-15,9,False,Unclear,Unspecified,213,0
38,2024-02-07,2024-02-15,8,False,Unclear,Email,93,0
39,2024-02-08,2024-02-18,10,True,Unclear,Unspecified,37,0
40,2024-02-09,2024-02-16,7,False,Unclear,Unspecified,58,0
41,2024-02-10,2024-02-16,6,False,None,Unspecified,283,0
42,2024-02-11,2024-02-15,4,False,Unclear,Email,262,0
43,2024-02-12,2024-02-16,4,True,None,Third-party,194,0
44,2024-02-13,2024-02-23,10,False,None,Third-party,247,0
45,2024-02-14,2024-02-18,4,False,None,Third-party,153,0
46,2024-02-15,2024-02-23,8,True,Unclear,Unspecified,173,0
47,2024-02-16,2024-02-23,7,False,Unclear,Third-party,173,0
48,2024-02-17,2024-02-27,10,False,None,Unspecified,181,0
49,2024-02-18,2024-02-25,7,False,Unclear,Unspecified,52,0
50,2024-02-19,2024-02-25,6,False,None,Email,168,0
51,2024-02-20,2024-02-25,5,True,None,Third-party,187,0
52,2024-02-21,2024-02-24,3,False,None,Unspecified,15,0
53,2024-02-22,2024-02-25,3,False,Unclear,Unspecified,76,0
54,2024-02-23,2024-03-01,7,False,Unclear,Email,288,0
55,2024-02-24,2024-02-28,4,False,None,Third-party,15,0
56,2024-02-25,2024-03-02,6,False,Unclear,Unspecified,166,0
57,2024-02-26,2024-03-03,6,False,None,Email,5,0
58,2024-02-27,2024-03-02,4,False,Unclear,Third-party,75,0
59,2024-02-28,2024-03-09,10,False,Unclear,Third-party,194,0
60,2024-02-29,2024-03-07,7,False,None,Email,36,0
61,2024-03-01,2024-03-11,10,True,None,Third-party,226,0
62,2024-03-02,2024-03-11,9,False,Unclear,Unspecified,257,0
63,2024-03-03,2024-03-11,8,False,None,Third-party,179,0
64,2024-03-04,2024-03-09,5,False,Unclear,Email,52,0
65,2024-03-05,2024-03-09,4,True,Unclear,Third-party,163,0
66,2024-03-06,2024-03-14,8,True,None,Unspecified,135,0
67,2024-03-07,2024-03-13,6,False,Unclear,Unspecified,94,0
68,2024-03-08,2024-03-15,7,True,Unclear,Third-party,165,0
69,2024-03-09,2024-03-18,9,False,Unclear,Email,223,0
70,2024-03-10,2024-03-15,5,True,Unclear,Third-party,169,0
71,2024-03-11,2024-03-16,5,False,None,Third-party,37,0
72,2024-03-12,2024-03-16,4,False,None,Email,33,0
73,2024-03-13,2024-03-20,7,False,None,Unspecified,9,0
74,2024-03-14,2024-03-23,9,False,Unclear,Email,212,0
75,2024-03-15,2024-03-18,3,True,Unclear,Unspecified,22,0
76,2024-03-16,2024-03-24,8,False,None,Third-party,219,0
77,2024-03-17,2024-03-26,9,False,None,Email,279,0
78,2024-03-18,2024-03-21,3,False,Unclear,Third-party,265,0
79,2024-03-19,2024-03-28,9,False,None,Third-party,150,0
80,2024-03-20,2024-03-30,10,False,None,Third-party,44,0
81,2024-03-21,2024-03-25,4,False,None,Unspecified,276,0
82,2024-03-22,2024-03-30,8,False,Unclear,Third-party,85,0
83,2024-03-23,2024-04-02,10,False,None,Email,123,0
84,2024-03-24,2024-04-03,10,False,None,Unspecified,248,0
85,2024-03-25,2024-03-30,5,True,None,Unspecified,67,0
86,2024-03-26,2024-04-03,8,False,Unclear,Unspecified,84,0
87,2024-03-27,2024-04-01,5,False,None,Unspecified,291,0
88,2024-03-28,2024-04-05,8,True,None,Third-party,140,0
89,2024-03-29,2024-04-05,7,False,None,Email,77,0
90,2024-03-30,2024-04-07,8,False,Unclear,Unspecified,50,0
91,2024-01-01,2024-01-05,4,True,None,Unspecified,32,0
92,2024-01-02,2024-01-12,10,False,Unclear,Unspecified,295,0
93,2024-01-03,2024-01-08,5,False,None,Third-party,45,0
94,2024-01-04,2024-01-08,4,True,None,Unspecified,244,0
95,2024-01-05,2024-01-12,7,False,None,Unspecified,107,0
96,2024-01-06,2024-01-13,7,False,Unclear,Email,184,0
97,2024-01-07,2024-01-13,6,True,Unclear,Unspecified,50,0
98,2024-01-08,2024-01-14,6,False,Unclear,Unspecified,49,0
99,2024-01-09,2024-02-12,34,True,Form,Company Website,4756,1
100,2024-01-10,2024-01-17,7,False,Unclear,Unspecified,6,0
101,2024-01-11,2024-01-16,5,True,Unclear,Third-party,178,0
102,2024-01-12,2024-01-16,4,True,None,Unspecified,194,0
103,2024-01-13,2024-01-22,9,True,Unclear,Unspecified,244,0
104,2024-01-14,2024-01-20,6,True,None,Third-party,253,0
105,2024-01-15,2024-01-23,8,True,Unclear,Third-party,256,0
106,2024-01-16,2024-01-25,9,False,None,Unspecified,52,0
107,2024-01-17,2024-01-22,5,True,Unclear,Email,278,0
108,2024-01-18,2024-01-23,5,False,None,Unspecified,255,0
109,2024-01-19,2024-01-25,6,False,Unclear,Unspecified,295,0
110,2024-01-20,2024-01-27,7,False,Unclear,Unspecified,277,0
111,2024-01-21,2024-01-28,7,True,None,Third-party,99,0
112,2024-01-22,2024-02-01,10,False,Unclear,Unspecified,261,0
113,2024-01-23,2024-01-27,4,True,Unclear,Unspecified,87,0
114,2024-01-24,2024-01-31,7,False,None,Email,101,0
115,2024-01-25,2024-01-28,3,False,Unclear,Third-party,241,0
116,2024-01-26,2024-02-02,7,True,None,Email,214,0
117,2024-01-27,2024-02-03,7,False,None,Unspecified,145,0
118,2024-01-28,2024-02-05,8,False,None,Unspecified,18,0
119,2024-01-29,2024-02-01,3,False,None,Unspecified,282,0
120,2024-01-30,2024-02-08,9,True,None,Unspecified,248,0
121,2024-01-31,2024-02-04,4,False,None,Unspecified,244,0
122,2024-02-01,2024-02-07,6,True,Unclear,Third-party,110,0
123,2024-02-02,2024-02-08,6,False,None,Third-party,213,0
124,2024-02-03,2024-02-10,7,False,None,Email,127,0
125,2024-02-04,2024-02-14,10,True,Unclear,Third-party,268,0
126,2024-02-05,2024-02-13,8,True,Unclear,Third-party,57,0
127,2024-02-06,2024-02-13,7,True,Unclear,Unspecified,23,0
128,2024-02-07,2024-02-15,8,True,Unclear,Third-party,128,0
129,2024-02-08,2024-02-12,4,False,None,Third-party,234,0
130,2024-02-09,2024-02-19,10,False,None,Unspecified,260,0
131,2024-02-10,2024-02-20,10,False,Unclear,Unspecified,27,0
132,2024-02-11,2024-02-19,8,False,None,Email,133,0
133,2024-02-12,2024-02-22,10,True,None,Third-party,130,0
134,2024-02-13,2024-02-20,7,True,Unclear,Email,252,0
135,2024-02-14,2024-02-21,7,False,None,Email,171,0
136,2024-02-15,2024-02-21,6,False,None,Third-party,203,0
137,2024-02-16,2024-02-24,8,True,None,Email,42,0
138,2024-02-17,2024-02-25,8,True,Unclear,Unspecified,123,0
139,2024-02-18,2024-02-27,9,False,None,Email,169,0
140,2024-02-19,2024-02-24,5,False,None,Email,224,0
141,2024-02-20,2024-02-23,3,False,Unclear,Unspecified,60,0
142,2024-02-21,2024-02-29,8,False,None,Third-party,41,0
143,2024-02-22,2024-02-28,6,True,Unclear,Unspecified,125,0
144,2024-02-23,2024-02-28,5,False,Unclear,Email,148,0
145,2024-02-24,2024-04-09,45,True,Technical Test,Email,413,1
146,2024-02-25,2024-03-04,8,False,None,Email,8,0
147,2024-02-26,2024-03-06,9,False,None,Email,227,0
148,2024-02-27,2024-03-08,10,False,None,Unspecified,287,0
149,2024-02-28,2024-03-08,9,False,None,Third-party,127,0
150,2024-02-29,2024-03-08,8,False,Unclear,Email,13,0
151,2024-03-01,2024-03-10,9,False,None,Third-party,105,0
152,2024-03-02,2024-03-09,7,False,None,Unspecified,48,0
153,2024-03-03,2024-03-09,6,False,None,Unspecified,78,0
154,2024-03-04,2024-03-14,10,True,Unclear,Third-party,94,0
155,2024-03-05,2024-03-08,3,True,None,Unspecified,241,0
156,2024-03-06,2024-03-11,5,False,Unclear,Third-party,121,0
157,2024-03-07,2024-03-15,8,False,None,Unspecified,55,0
158,2024-03-08,2024-03-15,7,False,Unclear,Third-party,234,0
159,2024-03-09,2024-03-18,9,False,None,Third-party,75,0
160,2024-03-10,2024-03-17,7,True,None,Third-party,73,0
161,2024-03-11,2024-03-17,6,True,None,Unspecified,245,0
162,2024-03-12,2024-03-15,3,False,Unclear,Email,98,0
163,2024-03-13,2024-03-19,6,True,None,Third-party,16,0
164,2024-03-14,2024-03-21,7,True,None,Third-party,229,0
165,2024-03-15,2024-03-20,5,False,Unclear,Third-party,154,0
166,2024-03-16,2024-03-24,8,False,None,Email,164,0
167,2024-03-17,2024-03-24,7,False,Unclear,Third-party,193,0
168,2024-03-18,2024-03-23,5,False,Unclear,Email,259,0
169,2024-03-19,2024-03-23,4,True,None,Email,125,0
170,2024-03-20,2024-03-26,6,False,Unclear,Email,93,0
171,2024-03-21,2024-03-24,3,True,Unclear,Email,36,0
172,2024-03-22,2024-03-25,3,False,Unclear,Third-party,239,0
173,2024-03-23,2024-03-26,3,False,Unclear,Email,263,0
174,2024-03-24,2024-04-17,24,True,Form,Email,2193,1
175,2024-03-25,2024-03-28,3,False,Unclear,Third-party,262,0
176,2024-03-26,2024-03-30,4,False,None,Email,137,0
177,2024-03-27,2024-04-03,7,False,None,Third-party,125,0
178,2024-03-28,2024-04-03,6,True,Unclear,Email,127,0
179,2024-03-29,2024-04-01,3,False,None,Third-party,114,0
180,2024-03-30,2024-04-02,3,False,None,Unspecified,130,0
181,2024-01-01,2024-01-30,29,True,Interview,Company Website,1258,1
182,2024-01-02,2024-01-05,3,False,Unclear,Third-party,245,0
183,2024-01-03,2024-01-06,3,False,None,Unspecified,110,0
184,2024-01-04,2024-01-07,3,True,None,Unspecified,64,0
185,2024-01-05,2024-01-15,10,False,Unclear,Unspecified,197,0
186,2024-01-06,2024-01-16,10,True,None,Unspecified,53,0
187,2024-01-07,2024-01-11,4,False,Unclear,Unspecified,164,0
188,2024-01-08,2024-01-12,4,True,Unclear,Third-party,165,0
189,2024-01-09,2024-01-19,10,False,None,Email,148,0
190,2024-01-10,2024-01-13,3,False,Unclear,Email,70,0
191,2024-01-11,2024-01-15,4,False,None,Email,123,0
192,2024-01-12,2024-01-17,5,False,None,Unspecified,273,0
193,2024-01-13,2024-01-16,3,False,Unclear,Unspecified,285,0
194,2024-01-14,2024-01-23,9,False,Unclear,Third-party,44,0
195,2024-01-15,2024-01-24,9,False,None,Third-party,105,0
196,2024-01-16,2024-01-19,3,False,Unclear,Email,62,0
197,2024-01-17,2024-01-22,5,False,Unclear,Third-party,84,0
198,2024-01-18,2024-01-28,10,False,None,Email,102,0
199,2024-01-19,2024-01-22,3,True,Unclear,Third-party,129,0
200,2024-01-20,2024-01-26,6,False,None,Third-party,71,0
201,2024-01-21,2024-01-27,6,False,None,Email,172,0
202,2024-01-22,2024-01-26,4,False,Unclear,Unspecified,228,0
203,2024-01-23,2024-01-26,3,False,Unclear,Third-party,156,0
204,2024-01-24,2024-02-03,10,False,None,Email,265,0
205,2024-01-25,2024-02-03,9,True,Unclear,Email,256,0
206,2024-01-26,2024-01-31,5,False,None,Third-party,242,0
207,2024-01-27,2024-02-04,8,False,None,Email,45,0
208,2024-01-28,2024-02-04,7,False,None,Unspecified,136,0
209,2024-01-29,2024-02-01,3,True,Unclear,Email,87,0
210,2024-01-30,2024-02-06,7,True,None,Third-party,97,0
211,2024-01-31,2024-02-07,7,False,Unclear,Unspecified,174,0
212,2024-02-01,2024-02-05,4,True,Unclear,Email,43,0
213,2024-02-02,2024-02-08,6,False,None,Unspecified,98,0
214,2024-02-03,2024-02-09,6,False,None,Third-party,113,0
215,2024-02-04,2024-02-07,3,False,Unclear,Third-party,239,0
216,2024-02-05,2024-03-19,43,True,Form,Email,3427,1
217,2024-02-06,2024-02-15,9,True,None,Unspecified,184,0
218,2024-02-07,2024-02-12,5,True,None,Email,101,0
219,2024-02-08,2024-02-13,5,False,Unclear,Email,61,0
220,2024-02-09,2024-02-14,5,True,Unclear,Email,11,0
221,2024-02-10,2024-02-17,7,True,None,Email,258,0
222,2024-02-11,2024-02-16,5,False,None,Unspecified,286,0
223,2024-02-12,2024-02-21,9,False,Unclear,Email,210,0
224,2024-02-13,2024-02-22,9,False,Unclear,Email,209,0
225,2024-02-14,2024-02-18,4,False,None,Unspecified,275,0
226,2024-02-15,2024-02-19,4,False,None,Email,255,0
227,2024-02-16,2024-02-23,7,False,None,Third-party,68,0
228,2024-02-17,2024-02-24,7,False,None,Email,187,0
229,2024-02-18,2024-02-27,9,True,None,Unspecified,127,0
230,2024-02-19,2024-02-26,7,False,Unclear,Third-party,190,0
231,2024-02-20,2024-02-28,8,False,Unclear,Unspecified,105,0
232,2024-02-21,2024-03-02,10,False,Unclear,Email,28,0
233,2024-02-22,2024-02-25,3,False,Unclear,Email,46,0
234,2024-02-23,2024-02-26,3,False,None,Email,247,0
235,2024-02-24,2024-02-28,4,False,None,Unspecified,224,0
236,2024-02-25,2024-03-03,7,False,Unclear,Unspecified,200,0
237,2024-02-26,2024-02-29,3,True,Unclear,Third-party,79,0
238,2024-02-27,2024-03-01,3,True,None,Email,80,0
239,2024-02-28,2024-03-02,3,False,Unclear,Unspecified,250,0
240,2024-02-29,2024-03-07,7,False,Unclear,Third-party,186,0
241,2024-03-01,2024-03-06,5,False,Unclear,Email,267,0
242,2024-03-02,2024-03-05,3,False,None,Third-party,12,0
243,2024-03-03,2024-03-11,8,False,Unclear,Unspecified,269,0
244,2024-03-04,2024-03-11,7,False,Unclear,Email,244,0
245,2024-03-05,2024-03-13,8,True,None,Third-party,220,0
246,2024-03-06,2024-03-16,10,False,Unclear,Unspecified,219,0
247,2024-03-07,2024-03-10,3,True,None,Third-party,273,0
248,2024-03-08,2024-03-12,4,False,Unclear,Unspecified,280,0
249,2024-03-09,2024-03-19,10,True,Unclear,Unspecified,112,0
250,2024-03-10,2024-03-13,3,True,None,Unspecified,199,0
251,2024-03-11,2024-03-21,10,False,Unclear,Email,24,0
252,2024-03-12,2024-03-16,4,True,Unclear,Third-party,228,0
253,2024-03-13,2024-03-22,9,True,None,Unspecified,248,0
254,2024-03-14,2024-03-17,3,False,None,Unspecified,294,0
255,2024-03-15,2024-03-25,10,True,Unclear,Unspecified,124,0
256,2024-03-16,2024-03-22,6,False,None,Email,194,0
257,2024-03-17,2024-03-21,4,False,Unclear,Email,229,0
258,2024-03-18,2024-03-21,3,True,Unclear,Third-party,72,0
259,2024-03-19,2024-03-23,4,True,Unclear,Unspecified,192,0
260,2024-03-20,2024-03-26,6,True,Unclear,Unspecified,66,0
261,2024-03-21,2024-03-26,5,True,Unclear,Email,261,0
262,2024-03-22,2024-03-25,3,False,Unclear,Third-party,176,0
263,2024-03-23,2024-03-29,6,False,Unclear,Unspecified,233,0
264,2024-03-24,2024-03-30,6,False,Unclear,Third-party,35,0
265,2024-03-25,2024-03-29,4,False,Unclear,Email,93,0
266,2024-03-26,2024-04-03,8,False,Unclear,Unspecified,226,0
267,2024-03-27,2024-04-05,9,False,None,Email,274,0
268,2024-03-28,2024-04-01,4,False,Unclear,Third-party,12,0
269,2024-03-29,2024-04-03,5,True,None,Unspecified,112,0
270,2024-03-30,2024-04-06,7,False,Unclear,Email,165,0
271,2024-01-01,2024-01-07,6,False,Unclear,Third-party,88,0
272,2024-01-02,2024-01-07,5,False,None,Email,144,0
273,2024-01-03,2024-01-12,9,False,None,Third-party,200,0
274,2024-01-04,2024-01-11,7,False,None,Unspecified,87,0
275,2024-01-05,2024-01-12,7,False,None,Unspecified,264,0
276,2024-01-06,2024-01-11,5,False,Unclear,Unspecified,154,0
277,2024-01-07,2024-01-14,7,False,Unclear,Email,116,0
278,2024-01-08,2024-01-13,5,False,Unclear,Email,276,0
279,2024-01-09,2024-01-15,6,False,None,Unspecified,89,0
280,2024-01-10,2024-01-16,6,False,None,Email,156,0
281,2024-01-11,2024-01-16,5,True,Unclear,Third-party,125,0
282,2024-01-12,2024-01-15,3,False,Unclear,Unspecified,16,0
283,2024-01-13,2024-01-19,6,False,None,Third-party,15,0
284,2024-01-14,2024-01-18,4,True,None,Email,278,0
285,2024-01-15,2024-01-20,5,False,None,Third-party,241,0
286,2024-01-16,2024-01-26,10,False,Unclear,Unspecified,191,0
287,2024-01-17,2024-01-25,8,False,None,Third-party,195,0
288,2024-01-18,2024-01-26,8,True,None,Unspecified,101,0
289,2024-01-19,2024-01-29,10,False,Unclear,Email,22,0
290,2024-01-20,2024-01-25,5,True,Unclear,Third-party,17,0
291,2024-01-21,2024-01-28,7,False,None,Unspecified,211,0
292,2024-01-22,2024-01-30,8,True,Unclear,Unspecified,280,0
293,2024-01-23,2024-01-27,4,True,Unclear,Email,162,0
294,2024-01-24,2024-01-29,5,False,None,Third-party,178,0
295,2024-01-25,2024-01-29,4,True,Unclear,Unspecified,161,0
296,2024-01-26,2024-02-01,6,False,Unclear,Email,65,0
297,2024-01-27,2024-02-02,6,False,None,Unspecified,201,0
298,2024-01-28,2024-01-31,3,False,None,Unspecified,195,0
299,2024-01-29,2024-02-04,6,False,None,Third-party,246,0
300,2024-01-30,2024-02-02,3,False,Unclear,Unspecified,284,0
301,2024-01-31,2024-02-05,5,False,None,Third-party,66,0
302,2024-02-01,2024-02-08,7,True,Unclear,Unspecified,48,0
303,2024-02-02,2024-02-06,4,False,Unclear,Unspecified,218,0
304,2024-02-03,2024-02-12,9,False,None,Email,270,0
305,2024-02-04,2024-02-11,7,False,None,Unspecified,230,0
306,2024-02-05,2024-02-09,4,False,None,Email,13,0
307,2024-02-06,2024-02-12,6,False,None,Email,224,0
308,2024-02-07,2024-02-15,8,False,Unclear,Unspecified,199,0
309,2024-02-08,2024-02-11,3,True,None,Third-party,128,0
310,2024-02-09,2024-02-17,8,True,Unclear,Third-party,17,0
311,2024-02-10,2024-02-17,7,False,Unclear,Third-party,50,0
312,2024-02-11,2024-02-21,10,False,Unclear,Unspecified,26,0
313,2024-02-12,2024-02-22,10,False,None,Unspecified,49,0
314,2024-02-13,2024-02-17,4,False,Unclear,Third-party,42,0
315,2024-02-14,2024-02-17,3,True,None,Third-party,240,0
316,2024-02-15,2024-02-20,5,False,Unclear,Unspecified,223,0
317,2024-02-16,2024-02-22,6,True,Unclear,Third-party,215,0
318,2024-02-17,2024-02-20,3,True,Unclear,Unspecified,68,0
319,2024-02-18,2024-02-27,9,False,Unclear,Unspecified,290,0
320,2024-02-19,2024-02-28,9,False,None,Third-party,65,0
321,2024-02-20,2024-02-28,8,True,Unclear,Third-party,257,0
322,2024-02-21,2024-02-29,8,False,None,Email,28,0
323,2024-02-22,2024-03-01,8,False,Unclear,Unspecified,259,0
324,2024-02-23,2024-02-27,4,False,None,Unspecified,119,0
325,2024-02-24,2024-02-29,5,False,None,Unspecified,165,0
326,2024-02-25,2024-03-05,9,False,None,Third-party,70,0
327,2024-02-26,2024-03-04,7,False,None,Third-party,192,0
328,2024-02-27,2024-03-01,3,False,Unclear,Unspecified,133,0
329,2024-02-28,2024-03-07,8,False,Unclear,Third-party,264,0
330,2024-02-29,2024-03-10,10,False,Unclear,Email,195,0
331,2024-03-01,2024-03-04,3,False,Unclear,Third-party,215,0
332,2024-03-02,2024-03-08,6,False,Unclear,Email,216,0
333,2024-03-03,2024-03-11,8,True,None,Email,212,0
334,2024-03-04,2024-03-11,7,False,Unclear,Email,52,0
335,2024-03-05,2024-03-10,5,False,None,Email,122,0
336,2024-03-06,2024-03-15,9,False,None,Unspecified,84,0
337,2024-03-07,2024-03-10,3,False,None,Email,139,0
338,2024-03-08,2024-03-15,7,True,None,Third-party,83,0
339,2024-03-09,2024-03-17,8,True,Unclear,Email,24,0
340,2024-03-10,2024-03-16,6,False,None,Email,73,0
341,2024-03-11,2024-03-20,9,False,None,Third-party,263,0
342,2024-03-12,2024-03-22,10,False,Unclear,Email,5,0
343,2024-03-13,2024-03-20,7,False,None,Email,208,0
344,2024-03-14,2024-03-23,9,False,None,Unspecified,21,0
345,2024-03-15,2024-03-24,9,True,Unclear,Third-party,171,0
346,2024-03-16,2024-03-20,4,False,Unclear,Unspecified,205,0
347,2024-03-17,2024-03-26,9,True,None,Email,246,0
348,2024-03-18,2024-03-27,9,False,None,Third-party,77,0
349,2024-03-19,2024-03-24,5,True,None,Third-party,297,0
350,2024-03-20,2024-03-30,10,True,Unclear,Third-party,217,0
351,2024-03-21,2024-03-25,4,False,Unclear,Email,41,0
352,2024-03-22,2024-03-25,3,False,None,Unspecified,248,0
353,2024-03-23,2024-04-02,10,False,None,Email,239,0
354,2024-03-24,2024-03-30,6,False,None,Third-party,32,0
355,2024-03-25,2024-04-04,10,False,None,Third-party,266,0
356,2024-03-26,2024-03-29,3,False,None,Email,133,0
357,2024-03-27,2024-04-01,5,False,Unclear,Third-party,96,0
358,2024-03-28,2024-05-11,44,True,None,LinkedIn,1452,1
359,2024-03-29,2024-04-01,3,True,None,Email,154,0
360,2024-03-30,2024-04-04,5,False,Unclear,Email,258,0
361,2024-01-01,2024-01-07,6,False,None,Third-party,81,0
362,2024-01-02,2024-01-11,9,True,None,Unspecified,24,0
363,2024-01-03,2024-01-07,4,False,Unclear,Unspecified,115,0
364,2024-01-04,2024-01-09,5,False,None,Third-party,128,0
365,2024-01-05,2024-01-11,6,True,None,Third-party,157,0
366,2024-01-06,2024-01-13,7,True,None,Email,82,0
367,2024-01-07,2024-01-10,3,True,None,Unspecified,236,0
368,2024-01-08,2024-01-17,9,False,Unclear,Third-party,287,0
369,2024-01-09,2024-01-14,5,True,None,Email,110,0
370,2024-01-10,2024-01-15,5,False,None,Third-party,266,0
371,2024-01-11,2024-01-17,6,True,Unclear,Unspecified,298,0
372,2024-01-12,2024-01-22,10,False,None,Email,209,0
373,2024-01-13,2024-01-19,6,False,Unclear,Third-party,221,0
374,2024-01-14,2024-01-21,7,False,None,Third-party,256,0
375,2024-01-15,2024-01-25,10,True,Unclear,Email,67,0
376,2024-01-16,2024-01-19,3,False,None,Unspecified,69,0
377,2024-01-17,2024-01-27,10,False,Unclear,Third-party,149,0
378,2024-01-18,2024-01-28,10,True,None,Unspecified,125,0
379,2024-01-19,2024-01-23,4,False,None,Unspecified,281,0
380,2024-01-20,2024-01-24,4,False,None,Third-party,197,0
381,2024-01-21,2024-01-25,4,False,Unclear,Third-party,152,0
382,2024-01-22,2024-01-31,9,False,Unclear,Email,270,0
383,2024-01-23,2024-01-27,4,False,None,Email,22,0
384,2024-01-24,2024-01-29,5,False,None,Unspecified,167,0
385,2024-01-25,2024-01-31,6,False,Unclear,Unspecified,266,0
386,2024-01-26,2024-02-03,8,True,None,Third-party,105,0
387,2024-01-27,2024-01-31,4,True,Unclear,Email,116,0
388,2024-01-28,2024-02-04,7,False,None,Email,300,0
389,2024-01-29,2024-02-04,6,True,Unclear,Email,261,0
390,2024-01-30,2024-02-07,8,False,None,Third-party,134,0
391,2024-01-31,2024-02-03,3,False,Unclear,Third-party,96,0
392,2024-02-01,2024-02-09,8,False,Unclear,Email,259,0
393,2024-02-02,2024-02-11,9,True,Unclear,Email,232,0
394,2024-02-03,2024-02-12,9,False,None,Unspecified,78,0
395,2024-02-04,2024-02-11,7,False,None,Email,115,0
396,2024-02-05,2024-02-12,7,True,Unclear,Email,291,0
397,2024-02-06,2024-02-12,6,True,Unclear,Email,17,0
398,2024-02-07,2024-02-12,5,True,Unclear,Email,93,0
399,2024-02-08,2024-02-14,6,False,None,Email,91,0
400,2024-02-09,2024-02-14,5,True,Unclear,Unspecified,134,0
401,2024-02-10,2024-02-17,7,False,Unclear,Third-party,118,0
402,2024-02-11,2024-02-14,3,True,None,Third-party,76,0
403,2024-02-12,2024-02-21,9,True,None,Third-party,280,0
404,2024-02-13,2024-02-16,3,True,None,Third-party,57,0
405,2024-02-14,2024-02-24,10,False,Unclear,Third-party,22,0
406,2024-02-15,2024-02-23,8,False,None,Email,230,0
407,2024-02-16,2024-02-24,8,False,None,Unspecified,237,0
408,2024-02-17,2024-02-24,7,True,Unclear,Unspecified,103,0
409,2024-02-18,2024-02-28,10,False,None,Email,195,0
410,2024-02-19,2024-02-25,6,False,None,Unspecified,40,0
411,2024-02-20,2024-02-26,6,True,Unclear,Email,74,0
412,2024-02-21,2024-02-26,5,False,None,Email,173,0
413,2024-02-22,2024-03-02,9,False,Unclear,Email,136,0
414,2024-02-23,2024-03-02,8,False,None,Third-party,197,0
415,2024-02-24,2024-03-02,7,True,None,Email,221,0
416,2024-02-25,2024-03-05,9,False,Unclear,Third-party,99,0
417,2024-02-26,2024-03-03,6,False,None,Third-party,244,0
418,2024-02-27,2024-03-04,6,False,Unclear,Third-party,126,0
419,2024-02-28,2024-03-07,8,False,None,Email,85,0
420,2024-02-29,2024-03-03,3,False,None,Third-party,62,0
421,2024-03-01,2024-03-06,5,False,None,Third-party,61,0
422,2024-03-02,2024-03-09,7,False,None,Third-party,157,0
423,2024-03-03,2024-03-08,5,False,None,Third-party,251,0
424,2024-03-04,2024-03-13,9,True,None,Email,158,0
425,2024-03-05,2024-03-11,6,False,Unclear,Email,85,0
426,2024-03-06,2024-03-10,4,False,Unclear,Unspecified,210,0
427,2024-03-07,2024-03-11,4,False,Unclear,Third-party,36,0
428,2024-03-08,2024-03-18,10,False,Unclear,Third-party,219,0
429,2024-03-09,2024-03-17,8,False,Unclear,Unspecified,185,0
430,2024-03-10,2024-03-17,7,False,None,Email,65,0
431,2024-03-11,2024-03-16,5,True,Unclear,Unspecified,134,0
432,2024-03-12,2024-03-15,3,False,Unclear,Third-party,69,0
